hs_id,face_analysis,hair_analysis,score,definition
HS24,square,buzz,0,Teknik uyumsuzluk; Buzz kesim ensede bu derece bir uzunluk farkı barındırmaz.
HS25,square,buzz,0,Buzz saçta o karakteristik yüksek tepe hacmini oluşturmak teknik olarak imkansızdır.
HS26,square,buzz,1,Ön tarafta yükselme sağlayacak saç uzunluğu olmadığı için model karakteri oluşmaz.
HS27,square,buzz,3,"Çok kısa ve nizamlı; kare yüzün otoriter yapısına uygun, profesyonel bir kısa kesim varyasyonu."
HS28,square,buzz,1,Buzz kısalığında saçı yana ayırmak doğal bir ayrım çizgisi oluşturmayacağı için önerilmez.
HS29,square,buzz,2,Çok kısa saçta dikenli doku yaratmak zordur; kare yüz için fazla dağınık görünebilir.
HS30,square,buzz,0,Yapısal olarak imkansız; Buzz kesim omuz hizasına ulaşan bir uzunluk değildir.
HS31,square,buzz,4,Yanların tamamen sıfırlanması tepedeki kareliği kırar ve kafa yapını daha dinamik gösterir.
HS32,square,buzz,0,Buzz saç yapısı pürüzsüzce arkaya yatırılabilecek bir yüzeye sahip değildir.
HS33,square,buzz,0,Kısa Buzz saçta dalga formu oluşması fiziksel olarak mümkün değildir.
HS34,square,buzz,3,Buzz kesime makas dokusu ekleyerek sıradanlıktan kurtulmak ve yüze derinlik katmak isteyenlere.
HS35,square,buzz,1,Buzz saçta bu hacimli ve dokulu yükselişi sağlayacak malzeme yoktur.
HS36,square,buzz,0,Teknik uyumsuzluk; Buzz saçın tepe düğümü oluşturacak uzunluğu yoktur.
HS37,square,buzz,3,"Yan ve üst arasındaki keskin kontrast, çok kısa saçta bile kare yüzün karakterini parlatır."
HS38,square,buzz,0,"Buzz stile göre üstteki saçların uzun kalması gerekir, bu da temel kesimle uyumsuzdur."
HS39,square,buzz,0,Buzz saçta dalgalı ve katlı bir uzunluk yapısı kurulması mümkün değildir.
HS40,square,buzz,0,Teknik olarak imkansız; ne dalga ne de nizamlı ayrım Buzz saçta hayat bulur.
HS41,square,buzz,2,Eğer Buzz saçın biraz uzamışsa hafif bir doku denenebilir ama kare yüz için fazla karmaşık kalabilir.
HS42,square,buzz,0,Buzz kesim ile Wolf Cut'ın katlı ve dalgalı yapısı birbirine tamamen zıt tarzlardır.
HS01,round,straight,2,Yüzün yanlarına hacim katma riski taşır; yuvarlak hatları daha geniş gösterebilir.
HS02,round,straight,4,"Saçı yukarı yönlü dikmek, yüzünü dikeyde uzatarak yuvarlaklığı anında dengeler."
HS03,round,straight,1,Yüzün tüm yuvarlaklığını olduğu gibi ortaya çıkarır; sakal desteği olmadan riskli bir tercihtir.
HS04,round,straight,1,"Alındaki yatay hat, yüzü daha kısa ve geniş göstererek yuvarlaklığı vurgular."
HS05,round,straight,3,"Keskin bir yan ayrım, yüze ihtiyacı olan köşeli illüzyonu kazandırmak için idealdir."
HS06,round,straight,2,Fazla gelenekseldir; yuvarlak yüzü modernize etmek için yeterli dikey hacmi sağlamaz.
HS07,round,straight,4,"Yanlardaki kısalık ve üstteki yana yatırılmış hacim, yuvarlak yüzü inceltmek için mükemmeldir."
HS08,round,straight,2,Pratik bir kesimdir ancak yüzün genel dairesel formunu değiştirmekte zayıf kalır.
HS09,round,straight,0,Teknik uyumsuzluk; düz saç dokusu bu kıvırcık formu karşılamaz.
HS10,round,straight,0,Düz saç yapısında bu bukleli kahkül dokusu kendiliğinden oluşmaz.
HS11,round,straight,0,Yapısal olarak imkansız; düz saçta bu yoğun dalga yapısı yakalanamaz.
HS12,round,straight,1,"Ortadan ikiye ayrılan düz saç, yüzün yanak kısımlarını daha belirgin hale getirerek geniş gösterebilir."
HS13,round,straight,4,"Tepeye doğru sivrilen yapı, yuvarlak bir yüzü en dinamik ve ince gösteren modellerden biridir."
HS14,round,straight,2,Kahkül boyu çok kısa tutulmazsa yüzü basık gösterebilir; riskli bir dengedir.
HS15,round,straight,1,"Alnı kapatmak dikey alanı daraltır, bu da yuvarlak yüzü daha dairesel bir forma sokar."
HS16,round,straight,3,"Yanların aşırı kısalığı yüzü daraltır, ancak üst kütle çok dar kalırsa kafa yapını dengesiz gösterebilir."
HS17,round,straight,3,Hem nizamlı hem de tepede hafif bir yükselti sunduğu için yüzü daha seçkin ve uzun gösterir.
HS18,round,straight,2,Yüzü tamamen açar ancak düz saçta hacim sönük kalırsa yuvarlaklık çok vurgulanır.
HS19,round,straight,2,Standart bir model; yüzün genişliğini almakta çok başarılı sayılmaz.
HS20,round,straight,3,Saçı tepede sıkıca toplamak (yüksekte yapıldığında) yüzü dikeyde uzatan bir illüzyon yaratır.
HS21,round,straight,2,Yandaki düz katlar yanaklara hacim ekleyerek yüzü daha geniş gösterebilir.
HS22,round,straight,2,Modern bir geçiş sağlar ancak karakteristik olarak yüzü inceltme potansiyeli sınırlıdır.
HS23,round,straight,1,Yüzü çok çıplak bırakır; yuvarlak hatları maskeleyebilecek hiçbir hacim sunmaz.
HS24,round,straight,2,Aykırı bir tarz; ensedeki uzunluk yüzü dikeyde bir miktar uzatsa da yanlar riskli olabilir.
HS25,round,straight,4,"Yuvarlak yüzün kurtarıcısıdır. Tepedeki görkemli hacim, yüzü çok daha karizmatik ve uzun gösterir."
HS26,round,straight,4,Ön tarafta sağladığı dikey yükseliş ile yuvarlak yüzü anında modernize eden en iyi modellerden biridir.
HS27,round,straight,2,Çok disiplinli ve düzdür; yuvarlak yüze ihtiyaç duyduğu yumuşak geçişi veya keskin kontrastı vermez.
HS28,round,straight,3,Derli toplu ve hafif hacimli olması sayesinde yüzün dairesel etkisini kırar.
HS29,round,straight,3,"Dikey dokular bakışları yukarı çeker, bu da yüzün genişliğini geri plana iter."
HS30,round,straight,1,Düz saç yapısında yanlardaki kütle yuvarlak yüzü çok daha geniş ve basık gösterebilir.
HS31,round,straight,3,Yanların sıfırlanması yüzü daraltır ancak tepedeki saç çok düzse dengeyi korumak zordur.
HS32,round,straight,2,"Hacimli yapılmadığı sürece yuvarlak yüzü olduğu gibi sergileyen, sakal desteği isteyen bir modeldir."
HS33,round,straight,0,Teknik uyumsuzluk; düz saç yapısı bu doğal dalga formuna uygun değildir.
HS34,round,straight,2,Yatay dokular yuvarlak yüzü daha geniş algılatabilir; özenli bir kesim gerektirir.
HS35,round,straight,4,Hem dikey hacim hem de hareketli doku ile yuvarlak yüzü en iyi kamufle eden modern stildir.
HS36,round,straight,3,"Tepedeki yüksek toplama noktası yüzü dikeyde uzatır, ancak yanların çok kısa olması gerekir."
HS37,round,straight,4,"Yanlardaki keskin ayrım ve üstteki kütle, yuvarlak yüze ihtiyacı olan köşeli karakteri kazandırır."
HS38,round,straight,3,"Üstteki uzunluk yana dökülmediği, yukarı yönlendirildiği sürece yüzü harika dengeler."
HS39,round,straight,0,Teknik uyumsuzluk; düz saçta katlı dalga yapısı oluşmaz.
HS40,round,straight,0,Saçınız düz olduğu için bu yumuşak dalgalı geçişi elde etmeniz zordur.
HS41,round,straight,0,Teknik uyumsuzluk; dalgalı doku düz saç yapısıyla hayat bulamaz.
HS42,round,straight,0,Düz saçta bu asimetrik dalga yoğunluğunu yakalamak mümkün değildir.
HS01,round,wavy/curly,3,Dalgaların arkaya doğru akışı karizmatik bir hava katar ancak yanların çok kabarmamasına dikkat edilmelidir.
HS02,round,wavy/curly,3,"Dalgalı saçın dikey hacmi yüzü uzatmak için idealdir, ancak formu korumak düz saça göre daha zordur."
HS03,round,wavy/curly,1,Yüzün tüm yuvarlaklığını ortaya çıkarır; dalgalı saçın hacim avantajını tamamen yok eder.
HS04,round,wavy/curly,1,"Kıvırcık yapı alındaki çizgiyi bozar ve yüzü daha basık, dairesel gösterir."
HS05,round,wavy/curly,2,"Dalgalı saçta net bir ayrım hattı oluşturmak zordur, model yuvarlak yüzde karmaşık durabilir."
HS06,round,wavy/curly,3,"Yanların nizamlı kısalığı yüzü daraltırken, tepedeki dalgalar ihtiyacın olan yüksekliği sağlar."
HS07,round,wavy/curly,4,"Yan fade geçişi yüzü inceltir, tepedeki dalgalı kütle ise dikey bir illüzyon yaratarak yüzü uzatır."
HS08,round,wavy/curly,2,Pratik bir kesimdir ancak dalgalı saçın yuvarlak yüzü dengeleme potansiyelini tam kullanamaz.
HS09,round,wavy/curly,4,"Ense ve kulak arkasındaki kavisli geçiş, kıvırcık tepe hacmiyle birleşerek yüzü daha oval ve modern gösterir."
HS10,round,wavy/curly,4,"Alna düşen bukleler yuvarlak üst hattı kırar, yanlardaki fade ise yüzün genişliğini alır."
HS11,round,wavy/curly,3,Yüzü çevreleyen bukleler hatları yumuşatır ancak yanlardaki aşırı hacim yüzü genişletebilir.
HS12,round,wavy/curly,2,"Dalgalı saçta yanaklara düşen tutamlar, yuvarlak yüzün genişliğini daha çok vurgulayabilir."
HS13,round,wavy/curly,3,Tepeye odaklanan dalgalı doku yüzü uzun gösterir ancak formun sivriliğini korumak zordur.
HS14,round,wavy/curly,2,Kıvırcık doku alında fazla yoğunluk yaratarak yüzü daha kısa ve yuvarlak hissettirebilir.
HS15,round,wavy/curly,3,"Alnı kapatan dağınık dalgalar odak noktasını gözlere çeker, ancak yanlar mutlaka kısa tutulmalıdır."
HS16,round,wavy/curly,2,"Yanların aşırı kısalığı yüzü inceltir ama üstteki doku eksikliği yüzü bir ""top"" gibi gösterebilir."
HS17,round,wavy/curly,3,Hafif dalgalı ve nizamlı duruşuyla yuvarlak yüzü daha seçkin ve dengeli bir forma sokar.
HS18,round,wavy/curly,2,Dalgalı yapıda saçın hacmi kontrol edilemezse yüzü olduğundan daha iri gösterebilir.
HS19,round,wavy/curly,2,Güvenli ama sıradan bir model; yuvarlak hatları inceltme konusunda çok iddialı değildir.
HS20,round,wavy/curly,4,"Saçı tepede (yüksekte) toplamak, yuvarlak yüzü dikeyde uzatan en etkili yöntemlerden biridir."
HS21,round,wavy/curly,3,Katlı dalgalar yüzü çerçeveler ancak yanak bölgelerindeki hacim kontrol altında tutulmalıdır.
HS22,round,wavy/curly,2,Modern bir geçiş sunsa da dalgalı saçın karakterini yuvarlak yüzle tam buluşturamaz.
HS23,round,wavy/curly,0,Yuvarlak yüzü çok çıplak bırakan ve dalgalı dokuyla teknik olarak uyumsuz bir kesimdir.
HS24,round,wavy/curly,3,"Ensedeki uzunluk yüzü dikeyde uzatır, dalgalı doku ise bu aykırı tarzı daha yumuşak gösterir."
HS25,round,wavy/curly,4,"Dalgalı saçın yarattığı doğal yüksek tepe hacmi, yuvarlak yüzü en karizmatik ve uzun gösteren stildir."
HS26,round,wavy/curly,4,"Ön tarafta yükselen dalgalar, yuvarlak yüzün ihtiyacı olan o dikey illüzyonu mükemmel sağlar."
HS27,round,wavy/curly,1,Dalgalı dokuyu baskılayan çok nizamlı bir ordu stili; yuvarlak yüzü donuklaştırır.
HS28,round,wavy/curly,2,Kısa dalgalar için nizamlı bir seçenek olsa da görsel etkisi yuvarlak yüzde zayıf kalabilir.
HS29,round,wavy/curly,2,Dalgalı saçta o sivri dokuyu yakalamak zordur; karmaşa yuvarlaklığı artırabilir.
HS30,round,wavy/curly,2,Omuz hizasındaki dalgalar yanlarda hacim yaparak yuvarlak yüzü daha geniş gösterebilir.
HS31,round,wavy/curly,3,"Yanların sıfırlanması yüzü daraltır, tepeye hafif bir doku kazandırarak modern duruş sağlar."
HS32,round,wavy/curly,2,"Yüzü tamamen açan bu model, dalgalı saçın kabarma riskiyle yüzü daha iri gösterebilir."
HS33,round,wavy/curly,3,Doğal ve hacimli dalgalar karakter katar ancak yüzün genişliğini kamufle etmekte zayıftır.
HS34,round,wavy/curly,2,Yatay dokular yuvarlak yüzü daha geniş algılatabilir; dikkatli uygulanmalıdır.
HS35,round,wavy/curly,4,Hem dikey hacim hem de dalgalı doku ile yuvarlak yüzü en iyi modernize eden stildir.
HS36,round,wavy/curly,4,Tepedeki yüksek düğüm noktası yüzü ince ve uzun gösterir; yanlar kısa tutulduğunda kusursuzdur.
HS37,round,wavy/curly,4,"Yan ve üst arasındaki sert kontrast, yuvarlak yüze ihtiyacı olan köşeli hatları kazandırır."
HS38,round,wavy/curly,3,Üstteki uzun dalgaların yukarı yönlendirilmesi yüzü harika dengeler.
HS39,round,wavy/curly,3,Katlı dalgalar yüzü çerçeveler ama genel hacmin yüzü basmamasına özen gösterilmelidir.
HS40,round,wavy/curly,3,"Yan ayrımın dalgalı ve yumuşak formu, yuvarlak yüzün hatlarına daha elit bir hava katar."
HS41,round,wavy/curly,4,"Belirgin bukleler ve fade geçişiyle, yuvarlak yüzü incelten en modern kısa kesimlerden biridir."
HS42,round,wavy/curly,3,Asimetrik katlar karakter katar ancak yuvarlak yüzü fazla boğmamak için katlar dikkatli kesilmelidir.
HS01,round,buzz,0,Teknik uyumsuzluk; Buzz kısalığında bu akışın sağlanması mümkün değildir.
HS02,round,buzz,1,Saçlar yukarı taranacak uzunlukta olmadığı için yuvarlak yüzü uzatma etkisini gösteremez.
HS03,round,buzz,2,Yüzün tüm daireselliğini ortaya çıkarır; ancak güçlü bir sakal hattıyla dengelenirse maskülen durur.
HS04,round,buzz,3,"Alındaki kısa küt hat, yuvarlak yüze ihtiyacı olan o ""çizgisel"" kontrastı kazandırır."
HS05,round,buzz,0,Teknik uyumsuzluk; Buzz kısalığında ayrım hattı oluşturulamaz.
HS06,round,buzz,1,Yanların hafif uzun kalması yuvarlak yüzü olduğundan daha geniş ve dolgun gösterebilir.
HS07,round,buzz,1,Üst kütle yana yatırılamayacak kadar kısadır; yuvarlak yüzü inceltme etkisi oluşmaz.
HS08,round,buzz,3,"Tepedeki hafif uzunluk, kafa yapısını bir miktar dikeyde esneterek yuvarlaklığı dengeler."
HS09,round,buzz,0,Buzz seviyesinde kıvırcık doku henüz oluşmadığı için teknik olarak uygulanamaz.
HS10,round,buzz,0,Yapısal olarak imkansız; Buzz kesim alna düşen bir kahkül barındırmaz.
HS11,round,buzz,0,Teknik uyumsuzluk; uzunluk ve form Buzz yapısına tamamen zıttır.
HS12,round,buzz,0,Buzz saçta ortadan ayrılan bir çerçeveleme yapılması imkansızdır.
HS13,round,buzz,3,"Çok kısa saçta bile tepeyi hafifçe sivriltmek, yuvarlak yüzü dikeyde daha ince gösterir."
HS14,round,buzz,3,"Tepe dokusunun öne yönlendirilmesi, yuvarlak yüzün odağını yukarı ve öne çekerek denge sağlar."
HS15,round,buzz,0,Teknik uyumsuzluk; alna sarkan bir yapı Buzz tarzında mevcut değildir.
HS16,round,buzz,4,"Yuvarlak yüzün en iyi dostu; yanlar aşırı kısa, tepe dardır. Yüzü anında daraltır ve inceltir."
HS17,round,buzz,2,Temiz bir kesimdir ancak yuvarlak hatları kırmak için fazla yumuşak ve nizamlı kalabilir.
HS18,round,buzz,0,Teknik uyumsuzluk; saçlar geriye taranacak uzunlukta değildir.
HS19,round,buzz,2,Geçiş çok aşağıda olduğu için yuvarlak yüzün genişliğini almakta yetersiz kalır.
HS20,round,buzz,0,Teknik uyumsuzluk; Buzz saçın toplanamayacak kadar kısa olması modelle çelişir.
HS21,round,buzz,0,Buzz saçta bu dağınık ve orta boy katmanlı yapı kurulamaz.
HS22,round,buzz,4,"Modern geçişin tam ortası. Yanlardaki keskinlik, yuvarlak yüzü daha atletik bir forma sokar."
HS23,round,buzz,3,Çok sert bir disiplin sağlar; yuvarlak yüzü olduğundan daha ciddi ve net gösterir.
HS24,round,buzz,0,Teknik uyumsuzluk; Buzz kesim ensede bu uzunluk farkını barındırmaz.
HS25,round,buzz,0,Buzz saçta o karakteristik yüksek tepe hacmini oluşturmak imkansızdır.
HS26,round,buzz,1,Ön tarafta dikey yükselme sağlayacak saç uzunluğu olmadığı için model karakteri oluşmaz.
HS27,round,buzz,2,Çok nizamlı ve düzdür; yuvarlak yüzün ihtiyacı olan keskin kontrastı tam veremez.
HS28,round,buzz,1,"Buzz kısalığında doğal bir ayrım çizgisi oluşmaz, yuvarlak yüzde donuk durabilir."
HS29,round,buzz,2,Çok kısa saçta dikenli doku karmaşa yaratarak yuvarlaklığı daha çok göze sokabilir.
HS30,round,buzz,0,Yapısal olarak imkansız; omuz hizasına ulaşan bir uzunluk değildir.
HS31,round,buzz,4,Yanların tamamen sıfırlanması yuvarlaklığı en aza indirir; tepedeki kısalıkla modern bir zıtlık yaratır.
HS32,round,buzz,0,Buzz saç yapısı pürüzsüzce arkaya yatırılabilecek bir yüzeye sahip değildir.
HS33,round,buzz,0,Kısa Buzz saçta dalga formu oluşması fiziksel olarak mümkün değildir.
HS34,round,buzz,3,Buzz kesime hafif bir doku ekleyerek yüzün daireselliğini modern bir hareketle kırar.
HS35,round,buzz,1,Buzz saçta bu hacimli yükselişi sağlayacak saç boyu yoktur.
HS36,round,buzz,0,Teknik uyumsuzluk; Buzz saçın tepe düğümü oluşturacak uzunluğu yoktur.
HS37,round,buzz,3,"Keskin yan-üst ayrımı, çok kısa saçta bile yuvarlak yüze köşeli bir ifade katar."
HS38,round,buzz,0,Buzz stile göre üstteki saçların uzun kalması gerektiği için uyumsuzdur.
HS39,round,buzz,0,Buzz saçta dalgalı ve katlı bir yapı kurulması mümkün değildir.
HS40,round,buzz,0,Teknik olarak imkansız; ne dalga ne de nizamlı ayrım Buzz saçta hayat bulur.
HS41,round,buzz,2,Saçlar biraz uzadığında denenebilir ancak yuvarlak yüzde kabarıklık riski taşır.
HS42,round,buzz,0,Buzz kesim ile Wolf Cut yapısı birbirine tamamen zıt karakterdedir.
HS01,rectangular,straight,4,Yanlara doğru doğal bir hacim ve akış sağladığı için dikdörtgen yüzün dikey etkisini mükemmel dengeler.
HS02,rectangular,straight,1,Saçın dikey taranması yüzü olduğundan çok daha uzun göstereceği için bu yüz tipine uygun değildir.
HS03,rectangular,straight,2,Yüzün uzunluğunu tamamen açıkta bırakır; ancak dengeli bir sakal hattıyla birlikte kullanılabilir.
HS04,rectangular,straight,4,"Alındaki küt ve yatay hat, yüzün dikey boyunu optik olarak kısaltarak ideal dengeyi sağlar."
HS05,rectangular,straight,3,"Klasik yan ayrım, nizamlı bir genişlik illüzyonu yaratarak yüzün uzunluğunu hafifletir."
HS06,rectangular,straight,3,Yanların aşırı kısa olmaması yüzün zayıf görünmesini engeller ve dengeli bir çerçeve sunar.
HS07,rectangular,straight,2,Fade geçişi yanları fazla inceltirse yüzün uzunluğu daha çok göze batabilir; dikkatli olunmalıdır.
HS08,rectangular,straight,2,Fazla sade bir modeldir; dikdörtgen yüzde karakter yaratmakta zayıf kalabilir.
HS09,rectangular,straight,0,Teknik uyumsuzluk; düz saç dokusu bu bukleli yapıyı oluşturmaz.
HS10,rectangular,straight,0,Saç yapınız düz olduğu için bu kıvırcık kahkül dokusunu elde edemezsiniz.
HS11,rectangular,straight,0,Teknik olarak imkansız; düz saçta bu hacimli bukleler oluşmaz.
HS12,rectangular,straight,4,"Yüzü yanlardan çerçeveleyen düz tutamlar, dikey uzunluğu kamufle ederek yüzü daha oval gösterir."
HS13,rectangular,straight,1,"Tepeye odaklanan dikey form, dikdörtgen yüzü aşırı derecede uzun ve dengesiz gösterir."
HS14,rectangular,straight,4,Dikdörtgen yüzün en iyi dostudur. Alındaki yoğunluk yüz boyunu kısaltırken modern bir duruş sergiler.
HS15,rectangular,straight,4,"Alnı tamamen kapatan düz doku, yüzün dikey alanını daraltmak için en etkili silahtır."
HS16,rectangular,straight,1,"Yanların çok kısa, tepenin dar olması yüzü ""sırık"" gibi uzun gösterme riski taşır."
HS17,rectangular,straight,3,"Alın hattını çok açmadan sağladığı nizamlı duruş, uzun yüzlerde elit bir denge kurar."
HS18,rectangular,straight,2,"Yüzü tamamen açması uzunluğu vurgulayabilir, ancak saçın arkadaki kütlesi bir miktar denge sağlar."
HS19,rectangular,straight,3,"Geçişin aşağıda olması yanlardaki dolgunluğu korur, bu da uzun yüzün daha geniş görünmesine yardımcı olur."
HS20,rectangular,straight,1,Tepede toplanan saçlar yüzün dikey hattını iyice uzatarak estetik oranları bozar.
HS21,rectangular,straight,4,"Yanlara düşen dağınık düz katlar, yüzün dikey etkisini kırarak daha dolgun ve dengeli bir form sunar."
HS22,rectangular,straight,2,Yanların orta seviyede açılması dikdörtgen yüzlerde bazen fazla zayıf bir görüntü yaratabilir.
HS23,rectangular,straight,1,Yüzün uzun kemik yapısını hiçbir dengeleyici unsur olmadan ortaya çıkaran sert bir kesimdir.
HS24,rectangular,straight,3,"Arkadaki uzunluk, bakış açısını değiştirerek yüzün sadece dikey uzunluğa odaklanmasını engeller."
HS25,rectangular,straight,1,Yüksek tepe hacmi dikdörtgen bir yüzü olduğundan iki kat daha uzun göstereceği için kaçınılmalıdır.
HS26,rectangular,straight,2,Ön taraftaki yükseltme yüzü uzatır; ancak çok düşük hacimli tutulursa denenebilir.
HS27,rectangular,straight,2,Çok düz ve nizamlıdır; dikdörtgen yüzü daha sert ve uzun gösterme eğilimindedir.
HS28,rectangular,straight,3,Derli toplu ve yanal bir odak yarattığı için uzun yüzlerde profesyonel bir duruş sağlar.
HS29,rectangular,straight,1,Dikey duran düz saçlar yüzün dikey hattını daha da belirginleştirir.
HS30,rectangular,straight,4,Omuz hizası düz saçlar yüzün yanlarını doldurarak dikdörtgen formu en iyi gizleyen stildir.
HS31,rectangular,straight,1,Yanların tamamen sıfırlanması yüzü aşırı derecede dar ve uzun gösterir.
HS32,rectangular,straight,2,Yüzü tamamen odak noktası yapar; alnı açıkta bıraktığı için dikey uzunluk ön plandadır.
HS33,rectangular,straight,0,Teknik uyumsuzluk; düz saçta kendiliğinden bu dalgalar oluşmaz.
HS34,rectangular,straight,3,Alna yönlendirilen doku yüz boyunu kısaltır; modern ve dikdörtgen yüzle uyumlu bir seçimdir.
HS35,rectangular,straight,1,Dikey hacim ve doku bu yüz tipinde orantısız bir uzunluk algısı yaratır.
HS36,rectangular,straight,1,Tepedeki düğüm yüzün boyunu artırarak geometrik dengeyi tamamen bozar.
HS37,rectangular,straight,2,Yanların aşırı kısa olması dikdörtgen yüzü fazla daraltabilir; üst kütle yana yatırılmalıdır.
HS38,rectangular,straight,3,Üstteki uzunluğun yanlara doğru hacimli bir şekilde dökülmesi yüzü genişletmeye yardımcı olur.
HS39,rectangular,straight,0,Düz saç dokusu bu modelin katlı ve hacimli dalga formunu karşılayamaz.
HS40,rectangular,straight,0,Saçınızda doğal dalga olmadığı için bu formun o yumuşak geçişi elde edilemez.
HS41,rectangular,straight,0,Teknik uyumsuzluk; dalgalı doku düz saç yapısıyla yakalanamaz.
HS42,rectangular,straight,0,Düz saçta bu asimetrik ve hacimli dalga yoğunluğunu yakalamak mümkün değildir.
HS01,rectangular,wavy/curly,4,"Dalgaların yanlara akışı, uzun yüzün dikey etkisini kırarak mükemmel bir genişlik illüzyonu sağlar."
HS02,rectangular,wavy/curly,1,Saçı yukarı kaldırmak yüz boyunu aşırı uzatır; bu yüz tipi için kaçınılması gereken bir dikey hacimdir.
HS03,rectangular,wavy/curly,2,Yüzün tüm uzunluğunu ortaya çıkarır; dalgalı dokunun dengeleyici gücünden mahrum kalırsınız.
HS04,rectangular,wavy/curly,3,Alındaki dalgalı kısa hat yüzü kısaltır; dikdörtgen yüzler için antik ama modern bir dokunuştur.
HS05,rectangular,wavy/curly,2,Nizamlı ayrım dalgalı saçta zor korunur ve uzun yüzü yeterince dengelemeyebilir.
HS06,rectangular,wavy/curly,2,Temiz bir kesimdir ancak yüzü genişletme konusunda orta boy modeller kadar iddialı değildir.
HS07,rectangular,wavy/curly,2,Yanların çok inceltilmesi (fade) dikdörtgen yüzü olduğundan daha sıska ve uzun gösterebilir.
HS08,rectangular,wavy/curly,2,"Fonksiyonel bir modeldir ancak dalgalı saçın sunduğu ""yüzü dolgunlaştırma"" potansiyelini ıskalar."
HS09,rectangular,wavy/curly,3,Yanlardaki kavisli geçiş yüze bir miktar dolgunluk katar; modern bir dengeleyicidir.
HS10,rectangular,wavy/curly,4,Alna düşen bukleler yüz boyunu kısaltmak için birebirdir; modern ve çok dengeli bir duruş sergiler.
HS11,rectangular,wavy/curly,4,"Yüzü çevreleyen yoğun bukleler, yanlarda hacim yaratarak uzun yüz formunu en iyi yumuşatan stildir."
HS12,rectangular,wavy/curly,4,"Dalgalı tutamların yüzü çerçevelemesi, uzun yüzü daha kompakt ve oval bir forma sokar."
HS13,rectangular,wavy/curly,1,Tepeye odaklanan kıvırcık doku yüzü gereğinden fazla uzatır; geometrik dengeyi bozar.
HS14,rectangular,wavy/curly,4,Dalgalı dokunun alındaki yoğunluğu yüzü optik olarak kısaltır; uzun yüzler için zirve bir seçimdir.
HS15,rectangular,wavy/curly,4,"Dağınık dalgaların alnı tamamen kapatması, yüzün dikey alanını daraltarak mükemmel oranlar yaratır."
HS16,rectangular,wavy/curly,1,"Yanların sıfırlanması yüzün uzunluğunu bir ""sırık"" gibi vurgulama riski taşır."
HS17,rectangular,wavy/curly,2,Uzun yüzde biraz sönük kalabilir; dikey dengeyi kurmakta dalgalı saçın diğer modellerine göre zayıftır.
HS18,rectangular,wavy/curly,2,Alnı tamamen açık bıraktığı için dikey uzunluğu kamufle edemez.
HS19,rectangular,wavy/curly,3,"Alçak fade yanlardaki dolgunluğu korur, bu da uzun yüzün daha geniş algılanmasını sağlar."
HS20,rectangular,wavy/curly,1,Tepedeki topuz yüz hattını dikeyde iyice sivriltir; dikdörtgen yüz için riskli bir seçimdir.
HS21,rectangular,wavy/curly,4,"Katlı dalgaların yarattığı yanal hacim, dikdörtgen yüzü dolgun gösteren en şık modellerdendir."
HS22,rectangular,wavy/curly,2,Standart geçiş; uzun yüzün ihtiyacı olan genişlik illüzyonunu sağlamakta yetersiz kalır.
HS23,rectangular,wavy/curly,1,"Uzun yüz hatlarını maskeleyebilecek hiçbir hacim sunmayan, yüzü çok çıplak bırakan bir kesimdir."
HS24,rectangular,wavy/curly,3,"Arkadaki dalgalı hacim, bakış yönünü değiştirerek yüzün dikey uzunluğunu unutturur."
HS25,rectangular,wavy/curly,1,"Dalgalı saçın devasa tepe hacmi, dikdörtgen bir yüzü orantısız derecede uzun gösterecektir."
HS26,rectangular,wavy/curly,2,Ön taraftaki yükseltme uzun yüzü daha çok uzatır; hacim yanlara kaydırılmalıdır.
HS27,rectangular,wavy/curly,1,"Dikdörtgen yüzün sertliğini dalgalı saçın yumuşaklığıyla kıramayan, fazla statik bir modeldir."
HS28,rectangular,wavy/curly,2,Yanlarda yeterli genişliği oluşturamaz; yüzü olduğundan daha ince gösterme riski vardır.
HS29,rectangular,wavy/curly,1,Yukarı bakan doku yüz boyunu artırarak geometrik dengeyi bozar.
HS30,rectangular,wavy/curly,4,Omuzlara dökülen dalgalar yanak bölgesini doldurur; uzun yüzü en iyi dengeleyen stildir.
HS31,rectangular,wavy/curly,1,Yanların yok edilmesi dikdörtgen yüzü aşırı derecede izole eder ve olduğundan uzun gösterir.
HS32,rectangular,wavy/curly,2,Alın yapısını ortaya çıkardığı için dikey uzunluk dikdörtgen yüzde dezavantaja dönüşür.
HS33,rectangular,wavy/curly,4,Doğal ve hacimli dalgalar yanlarda dolgunluk yaratarak yüzün uzunluğunu harika dengeler.
HS34,rectangular,wavy/curly,2,Kareleşen dokular dikdörtgen yüzde bazen sönük kalabilir.
HS35,rectangular,wavy/curly,1,Dikey yükseliş dikdörtgen yüzün oranlarını tamamen bozar; uzak durulmalıdır.
HS36,rectangular,wavy/curly,1,"Yüzün en tepesindeki düğüm, dikey hattı zirveye taşıyarak uyumsuz bir görüntü yaratır."
HS37,rectangular,wavy/curly,2,Yanların kısalığı üstteki dalgaları çok yüksekte bırakarak yüzü orantısız gösterir.
HS38,rectangular,wavy/curly,3,"Üstteki uzun dalgalar yanlara dökülürse, yüzün üst kısmındaki köşeli yapıyı yumuşatır."
